5265.81879 14.264 0.005
5266.80234 14.244 0.005
5267.79315 14.232 0.005
5268.83259 14.233 0.005
5269.77878 14.216 0.005
5270.76785 14.208 0.005
5271.85021 14.194 0.005
5272.76413 14.163 0.005
5273.82312 14.158 0.005
5274.78889 14.142 0.005
5275.83576 14.128 0.005
5276.77050 14.109 0.005
5276.89798 14.111 0.005
5277.80685 14.088 0.005
5278.77849 14.067 0.005
5279.78615 14.056 0.005
5280.86957 14.069 0.005
5281.77267 14.031 0.005
5281.90745 14.045 0.005
5282.78511 14.025 0.005
5283.73585 13.998 0.005
5284.88829 13.986 0.005
5285.73724 13.973 0.005
5286.74163 13.980 0.005
5287.75077 13.972 0.005
5288.72729 13.973 0.005
5292.79492 13.968 0.005
5293.80570 13.952 0.005
5295.84356 13.945 0.005
5297.91890 13.945 0.005
5300.86037 13.955 0.005
5304.76982 13.919 0.005
5307.76917 13.936 0.005
5309.84167 13.913 0.005
5311.92890 13.923 0.005
5314.67812 13.890 0.005
5315.81882 13.881 0.005
5321.66482 13.861 0.005
5324.73754 13.896 0.005
5325.85289 13.899 0.005
5327.69375 13.910 0.005
5328.85031 13.924 0.005
5335.75411 13.973 0.005
5337.85506 13.990 0.005
5339.90175 13.986 0.005
5341.73812 14.009 0.005
5342.79813 14.001 0.005
5343.82668 14.017 0.005
5349.61046 14.060 0.005
5352.63133 14.097 0.005
5354.79172 14.124 0.005
5358.73876 14.145 0.005
5364.60317 14.223 0.005
5376.64944 14.392 0.005
5377.53849 14.412 0.005
5379.60700 14.435 0.005
5381.70597 14.463 0.005
5386.78767 14.537 0.005
5390.55806 14.583 0.005
5393.70938 14.637 0.006
5402.66286 14.749 0.005
5403.73278 14.769 0.005
5407.66985 14.834 0.005
5411.49358 14.897 0.005
5416.69152 14.976 0.005
5430.48087 15.194 0.006
5435.67550 15.238 0.006
5444.59546 15.372 0.006
5450.51036 15.382 0.007
5458.53990 15.306 0.006
5468.54304 15.109 0.006
5476.51433 14.879 0.005
5483.52770 14.710 0.006
5485.54469 14.647 0.005
5601.85461 14.243 0.005
5604.85593 14.293 0.005
5605.85203 14.314 0.005
5606.85122 14.329 0.005
5607.85518 14.351 0.005
5608.84377 14.362 0.005
5611.84182 14.420 0.005
5612.85109 14.436 0.005
5613.85837 14.458 0.005
5615.84262 14.490 0.005
5616.83674 14.507 0.005
5621.82777 14.609 0.005
5622.78331 14.634 0.005
5624.77212 14.671 0.005
5626.83094 14.701 0.005
5628.77164 14.736 0.005
5629.76756 14.748 0.005
5632.86160 14.811 0.005
5633.76074 14.815 0.005
5634.91236 14.841 0.005
5635.79129 14.854 0.005
5637.76949 14.893 0.005
5638.90210 14.898 0.005
5639.77556 14.924 0.005
5641.88197 14.953 0.005
5643.87484 15.007 0.005
5647.74802 15.071 0.005
5648.88793 15.083 0.005
5650.82709 15.121 0.005
5652.81379 15.151 0.005
5654.90463 15.183 0.006
5656.87978 15.225 0.005
5658.87495 15.251 0.005
5659.92555 15.263 0.005
5662.84775 15.303 0.005
5664.92332 15.338 0.006
5668.72568 15.350 0.006
5670.83054 15.364 0.006
5676.71563 15.364 0.005
5679.67424 15.347 0.006
5680.84270 15.346 0.006
5682.72038 15.330 0.006
5684.69730 15.304 0.005
5686.69753 15.274 0.005
5688.84960 15.239 0.005
5690.90979 15.179 0.005
5692.79710 15.147 0.005
5693.89686 15.121 0.005
5695.66264 15.075 0.005
5696.78570 15.045 0.005
5697.87425 15.011 0.005
5702.58308 14.867 0.005
5702.76349 14.858 0.006
5703.71992 14.842 0.005
5706.77793 14.746 0.005
5707.91761 14.740 0.005
5709.81823 14.674 0.005
5713.84866 14.577 0.005
5715.90714 14.555 0.005
5721.79574 14.457 0.005
5723.62435 14.443 0.005
5724.75441 14.433 0.005
5726.67637 14.411 0.005
5734.60119 14.347 0.005
5735.85560 14.334 0.005
